SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
154,0,0,30,AODV,7.5
155,0,0,30,AODV,7.5
156,0,0,30,AODV,7.5
157,0,0,30,AODV,7.5
158,0,0,30,AODV,7.5
159,0,0,30,AODV,7.5
160,0,0,30,AODV,7.5
161,0,0,30,AODV,7.5
162,0,0,30,AODV,7.5
163,0,0,30,AODV,7.5
164,0,0,30,AODV,7.5
165,0,0,30,AODV,7.5
166,0,0,30,AODV,7.5
167,0,0,30,AODV,7.5
168,0,0,30,AODV,7.5
169,0,0,30,AODV,7.5
170,0,0,30,AODV,7.5
171,0,0,30,AODV,7.5
172,0,0,30,AODV,7.5
173,0,0,30,AODV,7.5
174,0,0,30,AODV,7.5
175,0,0,30,AODV,7.5
176,0,0,30,AODV,7.5
177,0,0,30,AODV,7.5
178,0,0,30,AODV,7.5
179,0,0,30,AODV,7.5
180,0,0,30,AODV,7.5
181,0,0,30,AODV,7.5
182,0,0,30,AODV,7.5
183,0,0,30,AODV,7.5
184,0,0,30,AODV,7.5
185,0,0,30,AODV,7.5
186,0,0,30,AODV,7.5
187,0,0,30,AODV,7.5
188,0,0,30,AODV,7.5
189,0,0,30,AODV,7.5
190,0,0,30,AODV,7.5
191,0,0,30,AODV,7.5
192,0,0,30,AODV,7.5
193,0,0,30,AODV,7.5
194,0,0,30,AODV,7.5
195,0,0,30,AODV,7.5
196,0,0,30,AODV,7.5
197,0,0,30,AODV,7.5
198,0,0,30,AODV,7.5
199,0,0,30,AODV,7.5
200,0,0,30,AODV,7.5
201,0,0,30,AODV,7.5
202,0,0,30,AODV,7.5
203,0,0,30,AODV,7.5
204,0,0,30,AODV,7.5
205,0,0,30,AODV,7.5
206,0,0,30,AODV,7.5
207,0,0,30,AODV,7.5
208,0,0,30,AODV,7.5
209,0,0,30,AODV,7.5
210,0,0,30,AODV,7.5
211,0,0,30,AODV,7.5
212,0,0,30,AODV,7.5
213,0,0,30,AODV,7.5
214,0,0,30,AODV,7.5
215,0,0,30,AODV,7.5
216,0,0,30,AODV,7.5
217,0,0,30,AODV,7.5
218,0,0,30,AODV,7.5
219,0,0,30,AODV,7.5
220,0,0,30,AODV,7.5
221,0,0,30,AODV,7.5
222,0,0,30,AODV,7.5
223,0,0,30,AODV,7.5
224,0,0,30,AODV,7.5
225,0,0,30,AODV,7.5
226,0,0,30,AODV,7.5
227,0,0,30,AODV,7.5
228,0,0,30,AODV,7.5
229,0,0,30,AODV,7.5
230,0,0,30,AODV,7.5
231,0,0,30,AODV,7.5
232,0,0,30,AODV,7.5
233,0,0,30,AODV,7.5
234,0,0,30,AODV,7.5
235,0,0,30,AODV,7.5
236,0,0,30,AODV,7.5
237,0,0,30,AODV,7.5
238,0,0,30,AODV,7.5
239,0,0,30,AODV,7.5
240,0,0,30,AODV,7.5
241,0,0,30,AODV,7.5
242,0,0,30,AODV,7.5
243,0,0,30,AODV,7.5
244,0,0,30,AODV,7.5
245,0,0,30,AODV,7.5
246,0,0,30,AODV,7.5
247,0,0,30,AODV,7.5
248,0,0,30,AODV,7.5
249,0,0,30,AODV,7.5
250,0,0,30,AODV,7.5
251,0,0,30,AODV,7.5
252,0,0,30,AODV,7.5
253,0,0,30,AODV,7.5
254,0,0,30,AODV,7.5
255,0,0,30,AODV,7.5
256,0,0,30,AODV,7.5
257,0,0,30,AODV,7.5
258,0,0,30,AODV,7.5
259,0,0,30,AODV,7.5
260,0,0,30,AODV,7.5
261,0,0,30,AODV,7.5
262,0,0,30,AODV,7.5
263,0,0,30,AODV,7.5
264,0,0,30,AODV,7.5
265,0,0,30,AODV,7.5
266,0,0,30,AODV,7.5
267,0,0,30,AODV,7.5
268,0,0,30,AODV,7.5
269,0,0,30,AODV,7.5
270,0,0,30,AODV,7.5
271,0,0,30,AODV,7.5
272,0,0,30,AODV,7.5
273,0,0,30,AODV,7.5
274,0,0,30,AODV,7.5
275,0,0,30,AODV,7.5
276,0,0,30,AODV,7.5
277,0,0,30,AODV,7.5
278,0,0,30,AODV,7.5
279,0,0,30,AODV,7.5
280,0,0,30,AODV,7.5
281,0,0,30,AODV,7.5
282,0,0,30,AODV,7.5
283,0,0,30,AODV,7.5
284,0,0,30,AODV,7.5
285,0,0,30,AODV,7.5
286,0,0,30,AODV,7.5
287,0,0,30,AODV,7.5
288,0,0,30,AODV,7.5
289,0,0,30,AODV,7.5
290,0,0,30,AODV,7.5
291,0,0,30,AODV,7.5
292,0,0,30,AODV,7.5
293,0,0,30,AODV,7.5
294,0,0,30,AODV,7.5
295,0,0,30,AODV,7.5
296,0,0,30,AODV,7.5
297,0,0,30,AODV,7.5
298,0,0,30,AODV,7.5
299,0,0,30,AODV,7.5
300,0,0,30,AODV,7.5
301,0,0,30,AODV,7.5
302,2.56,5,30,AODV,7.5
303,6.144,12,30,AODV,7.5
304,8.704,17,30,AODV,7.5
305,6.656,13,30,AODV,7.5
306,7.168,14,30,AODV,7.5
307,5.12,10,30,AODV,7.5
308,4.096,8,30,AODV,7.5
309,4.096,8,30,AODV,7.5
310,4.096,8,30,AODV,7.5
311,2.56,5,30,AODV,7.5
312,2.048,4,30,AODV,7.5
313,3.072,6,30,AODV,7.5
314,4.608,9,30,AODV,7.5
315,6.144,12,30,AODV,7.5
316,9.216,18,30,AODV,7.5
317,6.144,12,30,AODV,7.5
318,14.848,29,30,AODV,7.5
319,6.656,13,30,AODV,7.5
320,5.12,10,30,AODV,7.5
321,4.096,8,30,AODV,7.5
322,4.096,8,30,AODV,7.5
323,2.56,5,30,AODV,7.5
324,0.512,1,30,AODV,7.5
325,0,0,30,AODV,7.5
326,1.536,3,30,AODV,7.5
327,4.096,8,30,AODV,7.5
328,3.072,6,30,AODV,7.5
329,1.536,3,30,AODV,7.5
330,1.024,2,30,AODV,7.5
331,2.048,4,30,AODV,7.5
332,2.048,4,30,AODV,7.5
333,4.096,8,30,AODV,7.5
334,5.12,10,30,AODV,7.5
335,4.608,9,30,AODV,7.5
336,2.56,5,30,AODV,7.5
337,2.048,4,30,AODV,7.5
338,2.048,4,30,AODV,7.5
339,0.512,1,30,AODV,7.5
340,0,0,30,AODV,7.5
341,0,0,30,AODV,7.5
342,0,0,30,AODV,7.5
343,2.56,5,30,AODV,7.5
344,2.048,4,30,AODV,7.5
345,0,0,30,AODV,7.5
346,0,0,30,AODV,7.5
347,0,0,30,AODV,7.5
348,0,0,30,AODV,7.5
349,0,0,30,AODV,7.5
350,0,0,30,AODV,7.5
351,0,0,30,AODV,7.5
352,0,0,30,AODV,7.5
353,0,0,30,AODV,7.5
354,0,0,30,AODV,7.5
355,0,0,30,AODV,7.5
356,3.072,6,30,AODV,7.5
357,1.024,2,30,AODV,7.5
358,0,0,30,AODV,7.5
359,0,0,30,AODV,7.5
360,2.56,5,30,AODV,7.5
361,4.608,9,30,AODV,7.5
362,1.024,2,30,AODV,7.5
363,3.072,6,30,AODV,7.5
364,0,0,30,AODV,7.5
365,0,0,30,AODV,7.5
366,1.024,2,30,AODV,7.5
367,2.048,4,30,AODV,7.5
368,2.048,4,30,AODV,7.5
369,2.048,4,30,AODV,7.5
370,11.264,22,30,AODV,7.5
371,3.584,7,30,AODV,7.5
372,9.216,18,30,AODV,7.5
373,5.12,10,30,AODV,7.5
374,4.096,8,30,AODV,7.5
375,3.072,6,30,AODV,7.5
376,2.048,4,30,AODV,7.5
377,2.048,4,30,AODV,7.5
378,2.048,4,30,AODV,7.5
379,2.048,4,30,AODV,7.5
380,2.048,4,30,AODV,7.5
381,2.048,4,30,AODV,7.5
382,2.048,4,30,AODV,7.5
383,6.144,12,30,AODV,7.5
384,4.608,9,30,AODV,7.5
385,4.096,8,30,AODV,7.5
386,3.072,6,30,AODV,7.5
387,3.072,6,30,AODV,7.5
388,2.048,4,30,AODV,7.5
389,2.048,4,30,AODV,7.5
390,1.024,2,30,AODV,7.5
391,5.12,10,30,AODV,7.5
392,0,0,30,AODV,7.5
393,2.048,4,30,AODV,7.5
394,1.024,2,30,AODV,7.5
395,2.048,4,30,AODV,7.5
396,2.048,4,30,AODV,7.5
397,3.584,7,30,AODV,7.5
398,5.632,11,30,AODV,7.5
399,4.096,8,30,AODV,7.5
400,3.584,7,30,AODV,7.5
401,2.048,4,30,AODV,7.5
402,2.048,4,30,AODV,7.5
403,8.704,17,30,AODV,7.5
404,2.56,5,30,AODV,7.5
405,2.048,4,30,AODV,7.5
406,2.048,4,30,AODV,7.5
407,2.048,4,30,AODV,7.5
408,2.048,4,30,AODV,7.5
409,7.68,15,30,AODV,7.5
410,6.144,12,30,AODV,7.5
411,6.144,12,30,AODV,7.5
412,5.12,10,30,AODV,7.5
413,4.096,8,30,AODV,7.5
414,2.56,5,30,AODV,7.5
415,2.048,4,30,AODV,7.5
416,2.048,4,30,AODV,7.5
417,4.096,8,30,AODV,7.5
418,4.096,8,30,AODV,7.5
419,4.096,8,30,AODV,7.5
420,4.096,8,30,AODV,7.5
421,4.096,8,30,AODV,7.5
422,4.096,8,30,AODV,7.5
423,4.096,8,30,AODV,7.5
424,4.608,9,30,AODV,7.5
425,2.048,4,30,AODV,7.5
426,6.656,13,30,AODV,7.5
427,4.608,9,30,AODV,7.5
428,5.12,10,30,AODV,7.5
429,5.632,11,30,AODV,7.5
430,7.168,14,30,AODV,7.5
431,6.144,12,30,AODV,7.5
432,4.096,8,30,AODV,7.5
433,4.096,8,30,AODV,7.5
434,3.584,7,30,AODV,7.5
435,10.752,21,30,AODV,7.5
436,10.24,20,30,AODV,7.5
437,7.168,14,30,AODV,7.5
438,7.168,14,30,AODV,7.5
439,4.608,9,30,AODV,7.5
440,3.584,7,30,AODV,7.5
441,3.072,6,30,AODV,7.5
442,3.584,7,30,AODV,7.5
443,7.168,14,30,AODV,7.5
444,4.096,8,30,AODV,7.5
445,6.144,12,30,AODV,7.5
446,9.216,18,30,AODV,7.5
447,7.68,15,30,AODV,7.5
448,4.608,9,30,AODV,7.5
449,6.144,12,30,AODV,7.5
450,4.096,8,30,AODV,7.5
451,10.24,20,30,AODV,7.5
452,3.584,7,30,AODV,7.5
453,4.096,8,30,AODV,7.5
454,2.048,4,30,AODV,7.5
455,2.048,4,30,AODV,7.5
456,2.048,4,30,AODV,7.5
457,5.12,10,30,AODV,7.5
458,2.56,5,30,AODV,7.5
459,3.072,6,30,AODV,7.5
460,4.096,8,30,AODV,7.5
461,3.584,7,30,AODV,7.5
462,8.192,16,30,AODV,7.5
463,7.168,14,30,AODV,7.5
464,10.752,21,30,AODV,7.5
465,4.608,9,30,AODV,7.5
466,8.704,17,30,AODV,7.5
467,4.608,9,30,AODV,7.5
468,4.608,9,30,AODV,7.5
469,4.096,8,30,AODV,7.5
470,2.56,5,30,AODV,7.5
471,7.168,14,30,AODV,7.5
472,5.632,11,30,AODV,7.5
473,4.608,9,30,AODV,7.5
474,6.144,12,30,AODV,7.5
475,2.56,5,30,AODV,7.5
476,2.048,4,30,AODV,7.5
477,2.048,4,30,AODV,7.5
478,2.048,4,30,AODV,7.5
479,4.608,9,30,AODV,7.5
480,3.584,7,30,AODV,7.5
481,4.096,8,30,AODV,7.5
482,4.096,8,30,AODV,7.5
483,3.584,7,30,AODV,7.5
484,3.584,7,30,AODV,7.5
485,4.608,9,30,AODV,7.5
486,3.584,7,30,AODV,7.5
487,3.072,6,30,AODV,7.5
488,4.096,8,30,AODV,7.5
489,9.216,18,30,AODV,7.5
490,6.656,13,30,AODV,7.5
491,4.096,8,30,AODV,7.5
492,4.096,8,30,AODV,7.5
493,3.584,7,30,AODV,7.5
494,2.048,4,30,AODV,7.5
495,6.144,12,30,AODV,7.5
496,4.096,8,30,AODV,7.5
497,4.096,8,30,AODV,7.5
498,2.048,4,30,AODV,7.5
499,2.048,4,30,AODV,7.5
500,2.048,4,30,AODV,7.5
501,7.168,14,30,AODV,7.5
502,8.192,16,30,AODV,7.5
503,6.144,12,30,AODV,7.5
504,5.632,11,30,AODV,7.5
505,4.608,9,30,AODV,7.5
506,4.096,8,30,AODV,7.5
507,4.096,8,30,AODV,7.5
508,4.096,8,30,AODV,7.5
509,12.8,25,30,AODV,7.5
510,2.048,4,30,AODV,7.5
511,3.584,7,30,AODV,7.5
512,4.096,8,30,AODV,7.5
513,3.584,7,30,AODV,7.5
514,3.072,6,30,AODV,7.5
515,5.632,11,30,AODV,7.5
516,5.632,11,30,AODV,7.5
517,22.528,44,30,AODV,7.5
518,6.144,12,30,AODV,7.5
519,6.144,12,30,AODV,7.5
520,6.144,12,30,AODV,7.5
521,5.12,10,30,AODV,7.5
522,4.096,8,30,AODV,7.5
523,4.608,9,30,AODV,7.5
524,7.68,15,30,AODV,7.5
525,7.168,14,30,AODV,7.5
526,5.12,10,30,AODV,7.5
527,3.072,6,30,AODV,7.5
528,3.584,7,30,AODV,7.5
529,5.12,10,30,AODV,7.5
530,8.192,16,30,AODV,7.5
531,7.168,14,30,AODV,7.5
532,6.144,12,30,AODV,7.5
533,5.632,11,30,AODV,7.5
534,3.584,7,30,AODV,7.5
535,3.584,7,30,AODV,7.5
536,3.584,7,30,AODV,7.5
537,3.072,6,30,AODV,7.5
538,2.048,4,30,AODV,7.5
539,3.072,6,30,AODV,7.5
540,3.072,6,30,AODV,7.5
541,1.024,2,30,AODV,7.5
542,0,0,30,AODV,7.5
543,0,0,30,AODV,7.5
544,3.584,7,30,AODV,7.5
545,2.048,4,30,AODV,7.5
546,2.048,4,30,AODV,7.5
547,1.536,3,30,AODV,7.5
548,4.608,9,30,AODV,7.5
549,4.096,8,30,AODV,7.5
550,2.048,4,30,AODV,7.5
551,0.512,1,30,AODV,7.5
552,1.536,3,30,AODV,7.5
553,2.048,4,30,AODV,7.5
554,3.584,7,30,AODV,7.5
555,3.584,7,30,AODV,7.5
556,4.096,8,30,AODV,7.5
557,4.096,8,30,AODV,7.5
558,5.632,11,30,AODV,7.5
559,4.096,8,30,AODV,7.5
560,5.632,11,30,AODV,7.5
561,1.536,3,30,AODV,7.5
562,2.048,4,30,AODV,7.5
563,0.512,1,30,AODV,7.5
564,0,0,30,AODV,7.5
565,0,0,30,AODV,7.5
566,0,0,30,AODV,7.5
567,0,0,30,AODV,7.5
568,0,0,30,AODV,7.5
569,0,0,30,AODV,7.5
570,0,0,30,AODV,7.5
571,0,0,30,AODV,7.5
572,3.072,6,30,AODV,7.5
573,2.56,5,30,AODV,7.5
574,4.096,8,30,AODV,7.5
575,3.072,6,30,AODV,7.5
576,3.584,7,30,AODV,7.5
577,1.536,3,30,AODV,7.5
578,0.512,1,30,AODV,7.5
579,0,0,30,AODV,7.5
580,1.536,3,30,AODV,7.5
581,0,0,30,AODV,7.5
582,0,0,30,AODV,7.5
583,2.048,4,30,AODV,7.5
584,2.048,4,30,AODV,7.5
585,2.048,4,30,AODV,7.5
586,2.048,4,30,AODV,7.5
587,2.048,4,30,AODV,7.5
588,0,0,30,AODV,7.5
589,0,0,30,AODV,7.5
590,0,0,30,AODV,7.5
591,5.632,11,30,AODV,7.5
592,4.096,8,30,AODV,7.5
593,3.584,7,30,AODV,7.5
594,4.096,8,30,AODV,7.5
595,4.096,8,30,AODV,7.5
596,4.096,8,30,AODV,7.5
597,4.096,8,30,AODV,7.5
598,4.096,8,30,AODV,7.5
599,2.048,4,30,AODV,7.5
,,2141,,,
